Commit Hash,Aurthor,Week Day,Day,Month,Year,Date,Time,Time Zone,Subject
009a05f,daflair,Sat,7,Apr,2012,2012-04-07,20:15:24,-0400,Added toolbar creation / initialization  PlotMediator
de7d26f,daflair,Sat,7,Apr,2012,2012-04-07,20:02:39,-0400,Implemented Case / Set toolbar controls
35427b1,daflair,Sat,7,Apr,2012,2012-04-07,14:48:21,-0400,Implementing plot Controls / Mediator
ab2b911,daflair,Sat,7,Apr,2012,2012-04-07,11:49:48,-0400,Implemented line count / shell
fa66196,daflair,Sat,7,Apr,2012,2012-04-07,11:01:29,-0400,"Implemented ModelRecord, Fixed Case/Set/Sheet update bugs, Fixed LocalVariability algorithm for lower frequency patch patterns"
2ada995,daflair,Sat,7,Apr,2012,2012-04-07,09:05:12,-0400,"Implemented scatter-raw algorithm base, preparing to rename datasources correctly"
60fd9a3,daflair,Fri,6,Apr,2012,2012-04-06,19:21:28,-0400,"Implemented ViewLock, Refactored View / Axes, Fixed TitleText clipping problem"
e99688f,daflair,Fri,6,Apr,2012,2012-04-06,16:05:06,-0400,"Implemented CData / DataSource, Fixed OnResize / Figures"
2ac5d83,daflair,Fri,6,Apr,2012,2012-04-06,12:47:22,-0400,Refactored DataSource / DataProcessor w/ change events
c6961b6,daflair,Thu,5,Apr,2012,2012-04-05,19:59:23,-0400,"Implemented on-demand & copyable Models functions, Updated data processor"
47d771f,daflair,Thu,5,Apr,2012,2012-04-05,19:57:42,-0400,Depricated w/ warning camelString due to unresolved bugs
87c69e8,daflair,Thu,5,Apr,2012,2012-04-05,19:40:25,-0400,Fixed bug caused by camelString in generating data source IDs
b44e467,daflair,Thu,5,Apr,2012,2012-04-05,15:51:34,-0400,Implementing DataProcessor loading / processing data
55cda02,daflair,Wed,4,Apr,2012,2012-04-04,20:42:17,-0400,Implementing RegionDataSource for statistical plots
8f5d3d3,daflair,Wed,4,Apr,2012,2012-04-04,13:35:06,-0400,Refactored AttachMediations < PrepareMediator
ca8067f,daflair,Wed,4,Apr,2012,2012-04-04,13:07:34,-0400,Fixed recursive MetaProperty / Decorations bug
b3407cf,daflair,Wed,4,Apr,2012,2012-04-04,11:48:13,-0400,Working on Mediator Subjects
b1aaf6c,daflair,Wed,4,Apr,2012,2012-04-04,10:04:51,-0400,Implemented basic OnKeyPress for Window Functions
8459d23,daflair,Wed,4,Apr,2012,2012-04-04,09:51:27,-0400,Implemented ResetPlotLimits on AttachDataSource
d76f2bc,daflair,Wed,4,Apr,2012,2012-04-04,09:32:02,-0400,Fixed MultiPlotFigure OnResize bug (now working)
2dc4095,daflair,Wed,4,Apr,2012,2012-04-04,09:10:37,-0400,Implemented RawUniformityDataSource using TriScatterInterp
9788726,daflair,Tue,3,Apr,2012,2012-04-03,12:26:55,-0400,Refactored to create statements function
06fa1bf,daflair,Sat,31,Mar,2012,2012-03-31,09:27:45,-0400,"Refactored PropertyDecorator, Implementing MultiPlotFigure"
76d8aec,daflair,Fri,30,Mar,2012,2012-03-30,19:34:28,-0400,Fixing hottest on axes vs. surface
990335e,daflair,Fri,30,Mar,2012,2012-03-30,17:53:18,-0400,Implemented timer-based mouse click/double click
8f4ec11,daflair,Fri,30,Mar,2012,2012-03-30,16:20:25,-0400,Working on panAxes
622fadf,daflair,Fri,30,Mar,2012,2012-03-30,14:07:04,-0400,Implementing MouseEventHandler (in progress)
da73746,daflair,Fri,30,Mar,2012,2012-03-30,11:51:38,-0400,"Fixed daisy event calls, Handler subclassing, Implemented TextObject, PlotAxes"
d38b387,daflair,Fri,30,Mar,2012,2012-03-30,09:42:32,-0400,"Refactored DataSource, Implementier PlotFigure OverlayAxes (working)"
5c6d5d5,daflair,Thu,29,Mar,2012,2012-03-29,17:15:10,-0400,Implementing PlotComponent & Surf (in progress)
3f696a3,daflair,Thu,29,Mar,2012,2012-03-29,16:46:08,-0400,Fixed / Refactored Data Sources & Models (working LocVar)
25f74a4,daflair,Thu,29,Mar,2012,2012-03-29,15:52:53,-0400,"Fixed/Refactored Core, HandleGraphics, Decorator, EventHandler (working!)"
a924791,daflair,Thu,29,Mar,2012,2012-03-29,15:52:45,-0400,"Fixed/Refactored Core, HandleGraphics, Decorator, EventHandler (working)"
